timestamp,Ticker,Action,Confidence,AI_Prob_Outperform_%,ThesisLiteScore,RS_1w_vs_SPY_%,RS_4w_vs_SPY_%,WeeklyVol_%,AvgVol_20d,LastPrice,JanScore,LaborExposure,EarningsDate,DaysToEarnings,EarningsRisk,SplitRisk,Why
2025-12-20 19:01:42,NKE,WATCH,Low,43.9,,1.63,-2.21,1.59,4.1,12881332,65.69,0,5.0,4.0,1.0,0.333,0.0,RS4w vs SPY: +1.59% | RS1w vs SPY: -2.21% | Trend: above MA20 ✅ | Weekly vol: 4.1% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 56 | ATR%14: 2.55% | Vol regime (20/100): 0.95x | News7d: 4 | sent=+1.00 | int=0.33 | laborHits=0 | Labor exposure: 5.0/10 | AI: 43.9% to beat SPY next week | ThesisLiteScore: 1.63/10,43.9
2025-12-20 19:01:42,BBY,WATCH,Low,43.9,,0.0,-0.9,-8.19,4.59,4763064,72.49,0,5.0,4.0,0.0,0.333,0.0,RS4w vs SPY: -8.19% | RS1w vs SPY: -0.90% | Trend: below MA20 ⚠️ | Weekly vol: 4.6% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 19 | ATR%14: 2.86% | Vol regime (20/100): 1.30x | News7d: 4 | sent=+0.00 | int=0.33 | laborHits=0 | Labor exposure: 5.0/10 | AI: 43.9% to beat SPY next week | ThesisLiteScore: 0.00/10,43.9
2025-12-20 19:01:42,NVDA,WATCH,Low,43.1,,0.0,-1.91,-7.45,4.44,205009785,170.94,0,5.0,6.0,1.0,0.5,1.0,RS4w vs SPY: -7.45% | RS1w vs SPY: -1.91% | Trend: below MA20 ⚠️ | Weekly vol: 4.4% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 38 | ATR%14: 2.90% | Vol regime (20/100): 1.11x | News7d: 6 | sent=+1.00 | int=0.50 | laborHits=1 | Labor exposure: 5.0/10 | AI: 43.1% to beat SPY next week | ThesisLiteScore: 0.00/10,43.1
2025-12-20 19:01:42,COST,WATCH,Low,42.8,,0.0,-1.98,-6.99,2.67,2754506,863.23,0,5.0,2.0,1.0,0.167,1.0,RS4w vs SPY: -6.99% | RS1w vs SPY: -1.98% | Trend: below MA20 ⚠️ | Weekly vol: 2.7% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 28 | ATR%14: 1.97% | Vol regime (20/100): 1.13x | News7d: 2 | sent=+1.00 | int=0.17 | laborHits=1 | Labor exposure: 5.0/10 | AI: 42.8% to beat SPY next week | ThesisLiteScore: 0.00/10,42.8
2025-12-20 19:01:42,EBAY,WATCH,Low,41.9,,1.03,-2.89,-0.92,3.02,3897136,82.53,0,5.0,7.0,1.0,0.583,1.0,RS4w vs SPY: -0.92% | RS1w vs SPY: -2.89% | Trend: above MA20 ✅ | Weekly vol: 3.0% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 50 | ATR%14: 2.28% | Vol regime (20/100): 0.69x | News7d: 7 | sent=+1.00 | int=0.58 | laborHits=1 | Labor exposure: 5.0/10 | AI: 41.9% to beat SPY next week | ThesisLiteScore: 1.03/10,41.9
2025-12-20 19:01:42,TGT,WATCH,Low,41.7,,5.57,1.98,9.52,4.49,7714503,98.6,0,5.0,3.0,1.0,0.25,0.0,RS4w vs SPY: +9.52% | RS1w vs SPY: +1.98% | Trend: above MA20 ✅ | Weekly vol: 4.5% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 92 | ATR%14: 2.29% | Vol regime (20/100): 1.00x | News7d: 3 | sent=+1.00 | int=0.25 | laborHits=0 | Labor exposure: 5.0/10 | AI: 41.7% to beat SPY next week | ThesisLiteScore: 5.57/10,41.7
2025-12-20 19:01:42,SBUX,WATCH,Low,41.2,,2.44,0.26,-3.17,3.88,8900001,85.21,0,5.0,10.0,1.0,0.833,0.0,RS4w vs SPY: -3.17% | RS1w vs SPY: +0.26% | Trend: above MA20 ✅ | Weekly vol: 3.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 44 | ATR%14: 2.23% | Vol regime (20/100): 0.89x | News7d: 10 | sent=+1.00 | int=0.83 | laborHits=0 | Labor exposure: 5.0/10 | AI: 41.2% to beat SPY next week | ThesisLiteScore: 2.44/10,41.2
2025-12-20 19:01:42,MRK,WATCH,Low,40.2,,0.0,-3.7,-0.19,0.0,97,0.32,0,5.0,5.0,1.0,0.417,1.0,RS4w vs SPY: -0.19% | RS1w vs SPY: -3.70% | Trend: below MA20 ⚠️ | Weekly vol: 0.0% | Market vol4w: 2.58% | Regime: risk-on ✅ | ATR%14: 0.00% | Vol regime (20/100): 1.04x | News7d: 5 | sent=+1.00 | int=0.42 | laborHits=1 | Labor exposure: 5.0/10 | AI: 40.2% to beat SPY next week | ThesisLiteScore: 0.00/10,40.2
2025-12-20 19:01:42,AAPL,WATCH,Low,40.1,,2.48,-1.7,-2.69,2.13,40960260,272.37,0,3.0,8.0,1.0,0.667,0.0,RS4w vs SPY: -2.69% | RS1w vs SPY: -1.70% | Trend: below MA20 ⚠️ | Weekly vol: 2.1% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 40 | ATR%14: 1.64% | Vol regime (20/100): 0.80x | News7d: 8 | sent=+1.00 | int=0.67 | laborHits=0 | Labor exposure: 3.0/10 | AI: 40.1% to beat SPY next week | ThesisLiteScore: 2.48/10,40.1
2025-12-20 19:01:42,LOW,WATCH,Low,39.8,,3.44,0.69,2.82,3.79,3596813,247.96,0,5.0,0.0,0.0,0.0,0.0,RS4w vs SPY: +2.82% | RS1w vs SPY: +0.69% | Trend: above MA20 ✅ | Weekly vol: 3.8% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 60 | ATR%14: 1.91% | Vol regime (20/100): 1.21x | Labor exposure: 5.0/10 | AI: 39.8% to beat SPY next week | ThesisLiteScore: 3.44/10,39.8
2025-12-20 19:01:42,WMT,WATCH,Low,39.3,,5.13,-0.67,6.58,4.26,23975231,115.42,0,5.0,5.0,1.0,0.417,0.0,RS4w vs SPY: +6.58% | RS1w vs SPY: -0.67% | Trend: above MA20 ✅ | Weekly vol: 4.3% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 78 | ATR%14: 1.92% | Vol regime (20/100): 1.35x | News7d: 5 | sent=+1.00 | int=0.42 | laborHits=0 | Labor exposure: 5.0/10 | AI: 39.3% to beat SPY next week | ThesisLiteScore: 5.13/10,39.3
2025-12-20 19:01:42,DIS,WATCH,Low,39.3,,2.92,-0.16,3.39,3.26,11235792,110.95,0,5.0,8.0,1.0,0.667,1.0,RS4w vs SPY: +3.39% | RS1w vs SPY: -0.16% | Trend: above MA20 ✅ | Weekly vol: 3.3% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 72 | ATR%14: 1.92% | Vol regime (20/100): 1.20x | News7d: 8 | sent=+1.00 | int=0.67 | laborHits=1 | Labor exposure: 5.0/10 | AI: 39.3% to beat SPY next week | ThesisLiteScore: 2.92/10,39.3
2025-12-20 19:01:42,BAC,WATCH,Low,39.3,,0.0,0.42,-3.33,3.85,7184,3.1,0,5.0,5.0,1.0,0.417,0.0,RS4w vs SPY: -3.33% | RS1w vs SPY: +0.42% | Trend: below MA20 ⚠️ | Weekly vol: 3.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 37 | ATR%14: 4.68% | Vol regime (20/100): 0.83x | News7d: 5 | sent=+1.00 | int=0.42 | laborHits=0 | Labor exposure: 5.0/10 | AI: 39.3% to beat SPY next week | ThesisLiteScore: 0.00/10,39.3
2025-12-20 19:01:42,JPM,WATCH,Low,38.8,,3.65,-0.69,2.68,3.85,9359377,314.98,0,5.0,6.0,1.0,0.5,3.0,RS4w vs SPY: +2.68% | RS1w vs SPY: -0.69% | Trend: above MA20 ✅ | Weekly vol: 3.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 56 | ATR%14: 2.10% | Vol regime (20/100): 1.13x | News7d: 6 | sent=+1.00 | int=0.50 | laborHits=3 | Labor exposure: 5.0/10 | AI: 38.8% to beat SPY next week | ThesisLiteScore: 3.65/10,38.8
2025-12-20 19:01:42,BKNG,WATCH,Low,38.0,,3.91,1.99,9.92,4.45,294662,5384.56,0,5.0,8.0,1.0,0.667,0.0,RS4w vs SPY: +9.92% | RS1w vs SPY: +1.99% | Trend: above MA20 ✅ | Weekly vol: 4.5% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 76 | ATR%14: 2.59% | Vol regime (20/100): 1.20x | News7d: 8 | sent=+1.00 | int=0.67 | laborHits=0 | Labor exposure: 5.0/10 | AI: 38.0% to beat SPY next week | ThesisLiteScore: 3.91/10,38.0
2025-12-20 19:01:42,DLTR,WATCH,Low,37.5,,4.98,-0.73,23.06,5.88,3538663,128.37,0,5.0,4.0,1.0,0.333,0.0,RS4w vs SPY: +23.06% | RS1w vs SPY: -0.73% | Trend: above MA20 ✅ | Weekly vol: 5.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 78 | ATR%14: 3.60% | Vol regime (20/100): 0.86x | News7d: 4 | sent=+1.00 | int=0.33 | laborHits=0 | Labor exposure: 5.0/10 | AI: 37.5% to beat SPY next week | ThesisLiteScore: 4.98/10,37.5
2025-12-20 19:01:42,XOM,WATCH,Low,37.3,,3.07,-0.76,-2.73,2.85,15378991,117.41,0,5.0,11.0,0.778,0.917,1.0,RS4w vs SPY: -2.73% | RS1w vs SPY: -0.76% | Trend: above MA20 ✅ | Weekly vol: 2.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 57 | ATR%14: 2.02% | Vol regime (20/100): 1.02x | News7d: 11 | sent=+0.78 | int=0.92 | laborHits=1 | Labor exposure: 5.0/10 | AI: 37.3% to beat SPY next week | ThesisLiteScore: 3.07/10,37.3
2025-12-20 19:01:42,GOOGL,WATCH,Low,37.2,,4.02,-2.78,-3.11,4.89,44157028,299.37,0,5.0,11.0,1.0,0.917,0.0,RS4w vs SPY: -3.11% | RS1w vs SPY: -2.78% | Trend: below MA20 ⚠️ | Weekly vol: 4.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 30 | ATR%14: 2.68% | Vol regime (20/100): 1.23x | News7d: 11 | sent=+1.00 | int=0.92 | laborHits=0 | Labor exposure: 5.0/10 | AI: 37.2% to beat SPY next week | ThesisLiteScore: 4.02/10,37.2
2025-12-20 19:03:05,AAPL,WATCH,Low,64.1,,5.33,-1.7,-2.69,2.13,40960260,272.37,0,3.0,8.0,1.0,0.667,0.0,RS4w vs SPY: -2.69% | RS1w vs SPY: -1.70% | Trend: below MA20 ⚠️ | Weekly vol: 2.1% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 40 | ATR%14: 1.64% | Vol regime (20/100): 0.80x | News7d: 8 | sent=+1.00 | int=0.67 | laborHits=0 | Labor exposure: 3.0/10 | AI: 64.1% to beat SPY next week | ThesisLiteScore: 5.33/10,64.1
2025-12-20 19:03:05,TSLA,WATCH,Low,51.1,,9.24,7.75,22.94,5.13,73383178,492.56,0,5.0,11.0,1.0,0.917,0.0,RS4w vs SPY: +22.94% | RS1w vs SPY: +7.75% | Trend: above MA20 ✅ | Weekly vol: 5.1% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 81 | ATR%14: 2.92% | Vol regime (20/100): 0.87x | News7d: 11 | sent=+1.00 | int=0.92 | laborHits=0 | Labor exposure: 5.0/10 | AI: 51.1% to beat SPY next week | ThesisLiteScore: 9.24/10,51.1
2025-12-20 19:03:05,ABNB,WATCH,Low,50.1,,9.24,5.55,15.11,3.82,4881230,134.97,0,5.0,15.0,1.0,1.0,1.0,RS4w vs SPY: +15.11% | RS1w vs SPY: +5.55% | Trend: above MA20 ✅ | Weekly vol: 3.8% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 89 | ATR%14: 2.42% | Vol regime (20/100): 0.97x | News7d: 15 | sent=+1.00 | int=1.00 | laborHits=1 | Labor exposure: 5.0/10 | AI: 50.1% to beat SPY next week | ThesisLiteScore: 9.24/10,50.1
2025-12-20 19:03:05,BKNG,WATCH,Low,50.1,,6.77,1.99,9.92,4.45,294662,5384.56,0,5.0,8.0,1.0,0.667,0.0,RS4w vs SPY: +9.92% | RS1w vs SPY: +1.99% | Trend: above MA20 ✅ | Weekly vol: 4.5% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 76 | ATR%14: 2.59% | Vol regime (20/100): 1.20x | News7d: 8 | sent=+1.00 | int=0.67 | laborHits=0 | Labor exposure: 5.0/10 | AI: 50.1% to beat SPY next week | ThesisLiteScore: 6.77/10,50.1
2025-12-20 19:03:05,BAC,WATCH,Low,49.5,,2.43,0.42,-3.33,3.85,7184,3.1,0,5.0,5.0,1.0,0.417,0.0,RS4w vs SPY: -3.33% | RS1w vs SPY: +0.42% | Trend: below MA20 ⚠️ | Weekly vol: 3.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 37 | ATR%14: 4.68% | Vol regime (20/100): 0.83x | News7d: 5 | sent=+1.00 | int=0.42 | laborHits=0 | Labor exposure: 5.0/10 | AI: 49.5% to beat SPY next week | ThesisLiteScore: 2.43/10,49.5
2025-12-20 19:03:05,EBAY,WATCH,Low,47.4,,3.88,-2.89,-0.92,3.02,3897136,82.53,0,5.0,7.0,1.0,0.583,1.0,RS4w vs SPY: -0.92% | RS1w vs SPY: -2.89% | Trend: above MA20 ✅ | Weekly vol: 3.0% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 50 | ATR%14: 2.28% | Vol regime (20/100): 0.69x | News7d: 7 | sent=+1.00 | int=0.58 | laborHits=1 | Labor exposure: 5.0/10 | AI: 47.4% to beat SPY next week | ThesisLiteScore: 3.88/10,47.4
2025-12-20 19:03:05,MA,WATCH,Low,47.2,,6.0,-0.71,1.63,3.26,2926855,565.47,0,5.0,3.0,0.0,0.25,0.0,RS4w vs SPY: +1.63% | RS1w vs SPY: -0.71% | Trend: above MA20 ✅ | Weekly vol: 3.3% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 62 | ATR%14: 1.87% | Vol regime (20/100): 1.08x | News7d: 3 | sent=+0.00 | int=0.25 | laborHits=0 | Labor exposure: 5.0/10 | AI: 47.2% to beat SPY next week | ThesisLiteScore: 6.00/10,47.2
2025-12-20 19:03:05,DIS,WATCH,Low,47.1,,5.78,-0.16,3.39,3.26,11235792,110.95,0,5.0,8.0,1.0,0.667,1.0,RS4w vs SPY: +3.39% | RS1w vs SPY: -0.16% | Trend: above MA20 ✅ | Weekly vol: 3.3% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 72 | ATR%14: 1.92% | Vol regime (20/100): 1.20x | News7d: 8 | sent=+1.00 | int=0.67 | laborHits=1 | Labor exposure: 5.0/10 | AI: 47.1% to beat SPY next week | ThesisLiteScore: 5.78/10,47.1
2025-12-20 19:03:05,V,WATCH,Low,46.6,,6.6,-0.56,2.0,3.49,6840352,344.41,0,5.0,3.0,1.0,0.25,3.0,RS4w vs SPY: +2.00% | RS1w vs SPY: -0.56% | Trend: above MA20 ✅ | Weekly vol: 3.5% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 62 | ATR%14: 1.73% | Vol regime (20/100): 1.09x | News7d: 3 | sent=+1.00 | int=0.25 | laborHits=3 | Labor exposure: 5.0/10 | AI: 46.6% to beat SPY next week | ThesisLiteScore: 6.60/10,46.6
2025-12-20 19:03:05,AMZN,WATCH,Low,46.3,,4.04,-0.8,-1.77,3.01,39590680,223.43,0,5.0,3.0,0.0,0.25,3.0,RS4w vs SPY: -1.77% | RS1w vs SPY: -0.80% | Trend: below MA20 ⚠️ | Weekly vol: 3.0% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 40 | ATR%14: 1.89% | Vol regime (20/100): 0.87x | News7d: 3 | sent=+0.00 | int=0.25 | laborHits=3 | Labor exposure: 5.0/10 | AI: 46.3% to beat SPY next week | ThesisLiteScore: 4.04/10,46.3
2025-12-20 19:03:05,MSFT,WATCH,Low,46.2,,3.65,-0.1,-2.18,2.95,24701535,476.03,0,5.0,12.0,1.0,1.0,3.0,RS4w vs SPY: -2.18% | RS1w vs SPY: -0.10% | Trend: below MA20 ⚠️ | Weekly vol: 3.0% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 43 | ATR%14: 1.70% | Vol regime (20/100): 1.11x | News7d: 12 | sent=+1.00 | int=1.00 | laborHits=3 | Labor exposure: 5.0/10 | AI: 46.2% to beat SPY next week | ThesisLiteScore: 3.65/10,46.2
2025-12-20 19:03:05,NVDA,WATCH,Low,45.4,,2.39,-1.91,-7.45,4.44,205009785,170.94,0,5.0,6.0,1.0,0.5,1.0,RS4w vs SPY: -7.45% | RS1w vs SPY: -1.91% | Trend: below MA20 ⚠️ | Weekly vol: 4.4% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 38 | ATR%14: 2.90% | Vol regime (20/100): 1.11x | News7d: 6 | sent=+1.00 | int=0.50 | laborHits=1 | Labor exposure: 5.0/10 | AI: 45.4% to beat SPY next week | ThesisLiteScore: 2.39/10,45.4
2025-12-20 19:03:05,DLTR,WATCH,Low,45.3,,7.84,-0.73,23.06,5.88,3538663,128.37,0,5.0,4.0,1.0,0.333,0.0,RS4w vs SPY: +23.06% | RS1w vs SPY: -0.73% | Trend: above MA20 ✅ | Weekly vol: 5.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 78 | ATR%14: 3.60% | Vol regime (20/100): 0.86x | News7d: 4 | sent=+1.00 | int=0.33 | laborHits=0 | Labor exposure: 5.0/10 | AI: 45.3% to beat SPY next week | ThesisLiteScore: 7.84/10,45.3
2025-12-20 19:03:05,MCD,WATCH,Low,45.0,,0.0,-2.53,-14.57,8.28,746,0.83,0,5.0,16.0,1.0,1.0,0.0,RS4w vs SPY: -14.57% | RS1w vs SPY: -2.53% | Trend: below MA20 ⚠️ | Weekly vol: 8.3% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 24 | ATR%14: 4.30% | Vol regime (20/100): 0.44x | News7d: 16 | sent=+1.00 | int=1.00 | laborHits=0 | Labor exposure: 5.0/10 | AI: 45.0% to beat SPY next week | ThesisLiteScore: 0.00/10,45.0
2025-12-20 19:03:05,ULTA,WATCH,Low,44.6,,6.95,-2.21,10.59,7.25,904690,585.72,0,5.0,1.0,1.0,0.083,0.0,RS4w vs SPY: +10.59% | RS1w vs SPY: -2.21% | Trend: above MA20 ✅ | Weekly vol: 7.3% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 66 | ATR%14: 3.54% | Vol regime (20/100): 1.31x | News7d: 1 | sent=+1.00 | int=0.08 | laborHits=0 | Labor exposure: 5.0/10 | AI: 44.6% to beat SPY next week | ThesisLiteScore: 6.95/10,44.6
2025-12-20 19:03:05,BBY,WATCH,Low,44.6,,1.37,-0.9,-8.19,4.59,4763064,72.49,0,5.0,4.0,0.0,0.333,0.0,RS4w vs SPY: -8.19% | RS1w vs SPY: -0.90% | Trend: below MA20 ⚠️ | Weekly vol: 4.6% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 19 | ATR%14: 2.86% | Vol regime (20/100): 1.30x | News7d: 4 | sent=+0.00 | int=0.33 | laborHits=0 | Labor exposure: 5.0/10 | AI: 44.6% to beat SPY next week | ThesisLiteScore: 1.37/10,44.6
2025-12-20 19:03:05,JPM,WATCH,Low,44.3,,6.5,-0.69,2.68,3.85,9359377,314.98,0,5.0,6.0,1.0,0.5,3.0,RS4w vs SPY: +2.68% | RS1w vs SPY: -0.69% | Trend: above MA20 ✅ | Weekly vol: 3.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 56 | ATR%14: 2.10% | Vol regime (20/100): 1.13x | News7d: 6 | sent=+1.00 | int=0.50 | laborHits=3 | Labor exposure: 5.0/10 | AI: 44.3% to beat SPY next week | ThesisLiteScore: 6.50/10,44.3
2025-12-20 19:03:05,XOM,WATCH,Low,44.0,,5.92,-0.76,-2.73,2.85,15378991,117.41,0,5.0,11.0,0.778,0.917,1.0,RS4w vs SPY: -2.73% | RS1w vs SPY: -0.76% | Trend: above MA20 ✅ | Weekly vol: 2.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 57 | ATR%14: 2.02% | Vol regime (20/100): 1.02x | News7d: 11 | sent=+0.78 | int=0.92 | laborHits=1 | Labor exposure: 5.0/10 | AI: 44.0% to beat SPY next week | ThesisLiteScore: 5.92/10,44.0
2025-12-20 19:03:05,LOW,WATCH,Low,43.7,,6.29,0.69,2.82,3.79,3596813,247.96,0,5.0,0.0,0.0,0.0,0.0,RS4w vs SPY: +2.82% | RS1w vs SPY: +0.69% | Trend: above MA20 ✅ | Weekly vol: 3.8% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 60 | ATR%14: 1.91% | Vol regime (20/100): 1.21x | Labor exposure: 5.0/10 | AI: 43.7% to beat SPY next week | ThesisLiteScore: 6.29/10,43.7
2025-12-20 19:03:05,ABBV,WATCH,Low,43.3,,5.31,1.58,-7.4,3.38,5426524,225.91,0,5.0,10.0,1.0,0.833,1.0,RS4w vs SPY: -7.40% | RS1w vs SPY: +1.58% | Trend: below MA20 ⚠️ | Weekly vol: 3.4% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 47 | ATR%14: 1.88% | Vol regime (20/100): 0.98x | News7d: 10 | sent=+1.00 | int=0.83 | laborHits=1 | Labor exposure: 5.0/10 | AI: 43.3% to beat SPY next week | ThesisLiteScore: 5.31/10,43.3
2025-12-20 19:03:05,FDX,WATCH,Low,43.2,,9.41,-0.24,1.83,2.78,1396829,282.46,0,5.0,8.0,1.0,0.667,3.0,RS4w vs SPY: +1.83% | RS1w vs SPY: -0.24% | Trend: above MA20 ✅ | Weekly vol: 2.8% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 64 | ATR%14: 1.79% | Vol regime (20/100): 0.77x | News7d: 8 | sent=+1.00 | int=0.67 | laborHits=3 | Labor exposure: 5.0/10 | AI: 43.2% to beat SPY next week | ThesisLiteScore: 9.41/10,43.2
2025-12-20 19:03:05,META,WATCH,Low,42.8,,5.03,1.2,6.24,3.86,17149005,649.21,0,5.0,3.0,1.0,0.25,0.0,RS4w vs SPY: +6.24% | RS1w vs SPY: +1.20% | Trend: above MA20 ✅ | Weekly vol: 3.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 56 | ATR%14: 2.93% | Vol regime (20/100): 1.09x | News7d: 3 | sent=+1.00 | int=0.25 | laborHits=0 | Labor exposure: 5.0/10 | AI: 42.8% to beat SPY next week | ThesisLiteScore: 5.03/10,42.8
2025-12-20 19:03:05,WMT,WATCH,Low,42.6,,7.98,-0.67,6.58,4.26,23975231,115.42,0,5.0,5.0,1.0,0.417,0.0,RS4w vs SPY: +6.58% | RS1w vs SPY: -0.67% | Trend: above MA20 ✅ | Weekly vol: 4.3% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 78 | ATR%14: 1.92% | Vol regime (20/100): 1.35x | News7d: 5 | sent=+1.00 | int=0.42 | laborHits=0 | Labor exposure: 5.0/10 | AI: 42.6% to beat SPY next week | ThesisLiteScore: 7.98/10,42.6
2025-12-20 19:03:05,TJX,WATCH,Low,42.1,,7.85,-0.25,-0.59,2.44,6201698,155.09,0,5.0,10.0,1.0,0.833,1.0,RS4w vs SPY: -0.59% | RS1w vs SPY: -0.25% | Trend: above MA20 ✅ | Weekly vol: 2.4% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 61 | ATR%14: 1.31% | Vol regime (20/100): 1.19x | News7d: 10 | sent=+1.00 | int=0.83 | laborHits=1 | Labor exposure: 5.0/10 | AI: 42.1% to beat SPY next week | ThesisLiteScore: 7.85/10,42.1
2025-12-20 19:03:05,ORCL,WATCH,Low,42.0,,0.0,-4.81,-12.44,8.58,31879003,180.02,0,5.0,6.0,1.0,0.5,0.0,RS4w vs SPY: -12.44% | RS1w vs SPY: -4.81% | Trend: below MA20 ⚠️ | Weekly vol: 8.6% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 34 | ATR%14: 5.65% | Vol regime (20/100): 1.33x | News7d: 6 | sent=+1.00 | int=0.50 | laborHits=0 | Labor exposure: 5.0/10 | AI: 42.0% to beat SPY next week | ThesisLiteScore: 0.00/10,42.0
2025-12-20 19:03:05,NFLX,WATCH,Low,41.8,,0.0,0.0,-12.14,5.17,49250557,94.79,0,5.0,2.0,1.0,0.167,0.0,RS4w vs SPY: -12.14% | RS1w vs SPY: +0.00% | Trend: below MA20 ⚠️ | Weekly vol: 5.2% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 27 | ATR%14: 3.56% | Vol regime (20/100): 1.31x | News7d: 2 | sent=+1.00 | int=0.17 | laborHits=0 | Labor exposure: 5.0/10 | AI: 41.8% to beat SPY next week | ThesisLiteScore: 0.00/10,41.8
2025-12-20 19:03:05,KO,WATCH,Low,41.6,,5.23,0.64,-6.14,2.35,18276632,70.67,0,5.0,7.0,1.0,0.583,2.0,RS4w vs SPY: -6.14% | RS1w vs SPY: +0.64% | Trend: below MA20 ⚠️ | Weekly vol: 2.4% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 36 | ATR%14: 1.44% | Vol regime (20/100): 1.13x | News7d: 7 | sent=+1.00 | int=0.58 | laborHits=2 | Labor exposure: 5.0/10 | AI: 41.6% to beat SPY next week | ThesisLiteScore: 5.23/10,41.6
2025-12-20 19:03:05,TGT,WATCH,Low,41.5,,8.43,1.98,9.52,4.49,7714503,98.6,0,5.0,3.0,1.0,0.25,0.0,RS4w vs SPY: +9.52% | RS1w vs SPY: +1.98% | Trend: above MA20 ✅ | Weekly vol: 4.5% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 92 | ATR%14: 2.29% | Vol regime (20/100): 1.00x | News7d: 3 | sent=+1.00 | int=0.25 | laborHits=0 | Labor exposure: 5.0/10 | AI: 41.5% to beat SPY next week | ThesisLiteScore: 8.43/10,41.5
2025-12-20 19:03:05,CSCO,WATCH,Low,41.4,,6.94,-1.34,-2.58,2.95,17298348,76.42,0,5.0,8.0,1.0,0.667,1.0,RS4w vs SPY: -2.58% | RS1w vs SPY: -1.34% | Trend: below MA20 ⚠️ | Weekly vol: 2.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 52 | ATR%14: 1.84% | Vol regime (20/100): 0.86x | News7d: 8 | sent=+1.00 | int=0.67 | laborHits=1 | Labor exposure: 5.0/10 | AI: 41.4% to beat SPY next week | ThesisLiteScore: 6.94/10,41.4
2025-12-20 19:03:05,ROST,WATCH,Low,41.3,,10.0,0.78,2.01,4.48,3335198,182.74,0,5.0,3.0,1.0,0.25,0.0,RS4w vs SPY: +2.01% | RS1w vs SPY: +0.78% | Trend: above MA20 ✅ | Weekly vol: 4.5% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 64 | ATR%14: 1.54% | Vol regime (20/100): 1.23x | News7d: 3 | sent=+1.00 | int=0.25 | laborHits=0 | Labor exposure: 5.0/10 | AI: 41.3% to beat SPY next week | ThesisLiteScore: 10.00/10,41.3
