timestamp,Ticker,Action,Confidence,AI_Prob_Outperform_%,ThesisLiteScore,RS_1w_vs_SPY_%,RS_4w_vs_SPY_%,WeeklyVol_%,AvgVol_20d,LastPrice,JanScore,LaborExposure,EarningsDate,DaysToEarnings,EarningsRisk,SplitRisk,Why
2025-12-20 17:46:09,BKNG,WATCH,Low,38.0,,4.0,1.99,9.92,4.45,294662,5384.56,0,5.0,9.0,1.0,0.75,0.0,RS4w vs SPY: +9.92% | RS1w vs SPY: +1.99% | Trend: above MA20 ✅ | Weekly vol: 4.5% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 76 | ATR%14: 2.59% | Vol regime (20/100): 1.20x | News7d: 9 | sent=+1.00 | int=0.75 | laborHits=0 | Labor exposure: 5.0/10 | AI: 38.0% to beat SPY next week | ThesisLiteScore: 4.00/10,38.0
2025-12-20 17:46:09,DLTR,WATCH,Low,37.5,,4.98,-0.73,23.06,5.88,3538663,128.37,0,5.0,4.0,1.0,0.333,0.0,RS4w vs SPY: +23.06% | RS1w vs SPY: -0.73% | Trend: above MA20 ✅ | Weekly vol: 5.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 78 | ATR%14: 3.60% | Vol regime (20/100): 0.86x | News7d: 4 | sent=+1.00 | int=0.33 | laborHits=0 | Labor exposure: 5.0/10 | AI: 37.5% to beat SPY next week | ThesisLiteScore: 4.98/10,37.5
2025-12-20 17:46:09,XOM,WATCH,Low,37.3,,3.07,-0.76,-2.73,2.85,15378991,117.41,0,5.0,11.0,0.778,0.917,1.0,RS4w vs SPY: -2.73% | RS1w vs SPY: -0.76% | Trend: above MA20 ✅ | Weekly vol: 2.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 57 | ATR%14: 2.02% | Vol regime (20/100): 1.02x | News7d: 11 | sent=+0.78 | int=0.92 | laborHits=1 | Labor exposure: 5.0/10 | AI: 37.3% to beat SPY next week | ThesisLiteScore: 3.07/10,37.3
2025-12-20 17:46:09,GOOGL,WATCH,Low,37.2,,4.11,-2.78,-3.11,4.89,44157028,299.37,0,5.0,12.0,1.0,1.0,0.0,RS4w vs SPY: -3.11% | RS1w vs SPY: -2.78% | Trend: below MA20 ⚠️ | Weekly vol: 4.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 30 | ATR%14: 2.68% | Vol regime (20/100): 1.23x | News7d: 12 | sent=+1.00 | int=1.00 | laborHits=0 | Labor exposure: 5.0/10 | AI: 37.2% to beat SPY next week | ThesisLiteScore: 4.11/10,37.2
2025-12-20 19:01:42,MCD,WATCH,Low,81.1,,0.0,-2.53,-14.57,8.28,746,0.83,0,5.0,16.0,1.0,1.0,0.0,RS4w vs SPY: -14.57% | RS1w vs SPY: -2.53% | Trend: below MA20 ⚠️ | Weekly vol: 8.3% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 24 | ATR%14: 4.30% | Vol regime (20/100): 0.44x | News7d: 16 | sent=+1.00 | int=1.00 | laborHits=0 | Labor exposure: 5.0/10 | AI: 81.1% to beat SPY next week | ThesisLiteScore: 0.00/10,81.1
2025-12-20 19:01:42,ORCL,WATCH,Low,74.6,,0.0,-4.81,-12.44,8.58,31879003,180.02,0,5.0,6.0,1.0,0.5,0.0,RS4w vs SPY: -12.44% | RS1w vs SPY: -4.81% | Trend: below MA20 ⚠️ | Weekly vol: 8.6% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 34 | ATR%14: 5.65% | Vol regime (20/100): 1.33x | News7d: 6 | sent=+1.00 | int=0.50 | laborHits=0 | Labor exposure: 5.0/10 | AI: 74.6% to beat SPY next week | ThesisLiteScore: 0.00/10,74.6
2025-12-20 19:01:42,AVGO,WATCH,Low,65.9,,0.0,-9.43,-7.63,10.12,34277831,324.48,0,5.0,1.0,0.0,0.083,0.0,RS4w vs SPY: -7.63% | RS1w vs SPY: -9.43% | Trend: below MA20 ⚠️ | Weekly vol: 10.1% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 26 | ATR%14: 5.36% | Vol regime (20/100): 1.39x | News7d: 1 | sent=+0.00 | int=0.08 | laborHits=0 | Labor exposure: 5.0/10 | AI: 65.9% to beat SPY next week | ThesisLiteScore: 0.00/10,65.9
2025-12-20 19:01:42,CRM,WATCH,Low,62.6,,0.0,-1.47,-9.47,7.55,86373,0.36,0,5.0,1.0,0.0,0.083,0.0,RS4w vs SPY: -9.47% | RS1w vs SPY: -1.47% | Trend: below MA20 ⚠️ | Weekly vol: 7.6% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 38 | ATR%14: 5.05% | Vol regime (20/100): 1.92x | News7d: 1 | sent=+0.00 | int=0.08 | laborHits=0 | Labor exposure: 5.0/10 | AI: 62.6% to beat SPY next week | ThesisLiteScore: 0.00/10,62.6
2025-12-20 19:01:42,PEP,WATCH,Low,56.5,,0.0,1.14,-7.74,3.27,29763,56.4,0,5.0,7.0,1.0,0.583,0.0,RS4w vs SPY: -7.74% | RS1w vs SPY: +1.14% | Trend: below MA20 ⚠️ | Weekly vol: 3.3% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 39 | ATR%14: 2.86% | Vol regime (20/100): 3.39x | News7d: 7 | sent=+1.00 | int=0.58 | laborHits=0 | Labor exposure: 5.0/10 | AI: 56.5% to beat SPY next week | ThesisLiteScore: 0.00/10,56.5
2025-12-20 19:01:42,NFLX,WATCH,Low,56.2,,0.0,0.0,-12.14,5.17,49250557,94.79,0,5.0,2.0,1.0,0.167,0.0,RS4w vs SPY: -12.14% | RS1w vs SPY: +0.00% | Trend: below MA20 ⚠️ | Weekly vol: 5.2% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 27 | ATR%14: 3.56% | Vol regime (20/100): 1.31x | News7d: 2 | sent=+1.00 | int=0.17 | laborHits=0 | Labor exposure: 5.0/10 | AI: 56.2% to beat SPY next week | ThesisLiteScore: 0.00/10,56.2
2025-12-20 19:01:42,HD,WATCH,Low,47.8,,0.79,-1.51,-0.28,4.88,5427307,352.68,0,5.0,12.0,1.0,1.0,3.0,RS4w vs SPY: -0.28% | RS1w vs SPY: -1.51% | Trend: above MA20 ✅ | Weekly vol: 4.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 51 | ATR%14: 2.19% | Vol regime (20/100): 1.42x | News7d: 12 | sent=+1.00 | int=1.00 | laborHits=3 | Labor exposure: 5.0/10 | AI: 47.8% to beat SPY next week | ThesisLiteScore: 0.79/10,47.8
2025-12-20 19:01:42,LULU,WATCH,Low,47.4,,3.65,1.84,20.59,5.97,5032848,207.87,0,5.0,3.0,1.0,0.25,0.0,RS4w vs SPY: +20.59% | RS1w vs SPY: +1.84% | Trend: above MA20 ✅ | Weekly vol: 6.0% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 78 | ATR%14: 3.78% | Vol regime (20/100): 1.05x | News7d: 3 | sent=+1.00 | int=0.25 | laborHits=0 | Labor exposure: 5.0/10 | AI: 47.4% to beat SPY next week | ThesisLiteScore: 3.65/10,47.4
2025-12-20 19:01:42,UNH,WATCH,Low,47.1,,0.86,-2.56,0.63,4.14,6747415,331.63,0,5.0,8.0,1.0,0.667,1.0,RS4w vs SPY: +0.63% | RS1w vs SPY: -2.56% | Trend: above MA20 ✅ | Weekly vol: 4.1% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 51 | ATR%14: 2.50% | Vol regime (20/100): 0.55x | News7d: 8 | sent=+1.00 | int=0.67 | laborHits=1 | Labor exposure: 5.0/10 | AI: 47.1% to beat SPY next week | ThesisLiteScore: 0.86/10,47.1
2025-12-20 19:01:42,ULTA,WATCH,Low,46.3,,4.1,-2.21,10.59,7.25,904690,585.72,0,5.0,1.0,1.0,0.083,0.0,RS4w vs SPY: +10.59% | RS1w vs SPY: -2.21% | Trend: above MA20 ✅ | Weekly vol: 7.3% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 66 | ATR%14: 3.54% | Vol regime (20/100): 1.31x | News7d: 1 | sent=+1.00 | int=0.08 | laborHits=0 | Labor exposure: 5.0/10 | AI: 46.3% to beat SPY next week | ThesisLiteScore: 4.10/10,46.3
2025-12-20 19:01:42,META,WATCH,Low,44.9,,2.17,1.2,6.24,3.86,17149005,649.21,0,5.0,3.0,1.0,0.25,0.0,RS4w vs SPY: +6.24% | RS1w vs SPY: +1.20% | Trend: above MA20 ✅ | Weekly vol: 3.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 56 | ATR%14: 2.93% | Vol regime (20/100): 1.09x | News7d: 3 | sent=+1.00 | int=0.25 | laborHits=0 | Labor exposure: 5.0/10 | AI: 44.9% to beat SPY next week | ThesisLiteScore: 2.17/10,44.9
2025-12-20 19:01:42,ADBE,WATCH,Low,44.3,,2.21,-0.11,6.35,4.38,4509915,354.52,0,5.0,4.0,1.0,0.333,0.0,RS4w vs SPY: +6.35% | RS1w vs SPY: -0.11% | Trend: above MA20 ✅ | Weekly vol: 4.4% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 76 | ATR%14: 3.07% | Vol regime (20/100): 1.06x | News7d: 4 | sent=+1.00 | int=0.33 | laborHits=0 | Labor exposure: 5.0/10 | AI: 44.3% to beat SPY next week | ThesisLiteScore: 2.21/10,44.3
